"","patch","area_m2","longitude","latitude"
"1",1,14,658642.994956104,5213155.43609868
"2",2,29721,658359.037026636,5212747.90635394
"3",3,42,658772.528252826,5213104.60354907
"4",4,184,658789.2393629,5213093.10320878
"5",5,1,658776.504734545,5213101.72264111
"6",6,16,658527.423991526,5213078.97299186
"7",8,30,658538.08727252,5213080.08964131
"8",10,395,658806.306917298,5213069.92059978
"9",11,1,658523.486203117,5213078.72299571
"10",12,1,658532.486862338,5213078.72299571
"11",13,1,658793.50597974,5213061.72325781
"12",14,2,658790.50576,5213059.22329635
"13",16,458,658670.435830541,5213015.64318222
"14",17,1,658583.490597922,5213032.72370491
"15",21,2,658538.987338442,5213022.72385909
"16",22,7,658542.344727198,5213021.43816463
"17",23,1,658538.487301818,5213020.72388992
"18",26,1,658632.494187013,5213012.72401326
"19",27,775,658763.516686509,5212990.67015974
"20",28,4,658635.994443377,5213011.47403254
"21",32,6,658697.998984675,5213007.72409035
"22",34,1,658479.48298026,5213001.72418286
"23",37,3,658498.484371948,5212999.72421369
"24",38,1,658496.484225455,5212997.72424453
"25",39,3,658483.149915498,5212991.05768064
"26",40,1,658490.483785974,5212989.72436787
"27",41,14,658798.720647384,5212968.86754658
"28",42,322,658778.219145825,5212942.27478887
"29",45,3,658430.479391169,5212926.72533917
"30",46,415,658816.987217611,5212912.22194832
"31",50,3,658440.146765887,5212903.39236558
"32",51,174,658391.079953775,5212879.7433049
"33",52,14,658275.468037922,5212881.51175054
"34",53,1515,658798.528129748,5212869.55526351
"35",54,4,658271.217726624,5212873.97615244
"36",55,2,658270.467671688,5212871.22619484
"37",56,811,658260.881272896,5212846.66985335
"38",57,2,658394.476754286,5212860.22636443
"39",58,6,658391.64321342,5212858.05973117
"40",59,1,658271.467744935,5212835.72674216
"41",60,723,658853.7676548,5212818.08386065
"42",61,6,658065.952692727,5212831.72680383
"43",62,2282,658192.277019393,5212805.19697622
"44",63,106,658702.471010326,5212827.41554955
"45",64,53,658733.369499789,5212828.57590901
"46",67,2,658239.965437662,5212828.72685008
"47",68,56,658740.073494842,5212822.54837391
"48",69,35,658752.845858879,5212812.12710601
"49",70,166,658537.276369754,5212797.29359977
"50",71,10,658521.386049299,5212803.82723398
"51",72,50,658746.922567907,5212800.36728732
"52",74,15,658214.66358452,5212799.393969
"53",75,16,658219.58894526,5212799.28980394
"54",77,1,658133.457636883,5212798.72731261
"55",78,2,658130.957453766,5212796.22735115
"56",79,96,658706.478772413,5212779.55052493
"57",80,5,658703.099358234,5212786.5275007
"58",81,2,658357.474044156,5212783.22755158
"59",82,1,658362.47441039,5212783.72754387
"60",83,1,658569.489572467,5212781.7275747
"61",84,363,658862.714905447,5212778.25930861
"62",85,49,658722.623237169,5212775.0950239
"63",86,7,658837.794937811,5212777.15621661
"64",87,3613,658556.796973871,5212736.48996605
"65",91,84,658888.584371985,5212764.23974909
"66",94,221,658713.939066176,5212762.54687495
"67",95,1295,658173.39492488,5212730.69670125
"68",96,1,658877.512132468,5212757.72794472
"69",97,1,658343.473018701,5212756.72796014
"70",98,1,658901.51389039,5212756.72796014
"71",99,1047,658928.395515397,5212725.45623598
"72",100,1,658341.472872208,5212755.72797556
"73",102,3,658189.128380953,5212752.39469362
"74",103,4,658343.473018701,5212752.47802567
"75",104,4,658520.736001688,5212748.97807963
"76",105,15,658525.48634961,5212748.72808348
"77",109,146,658142.643241156,5212735.63239498
"78",111,4,658192.21194013,5212739.72822224
"79",114,1,658901.51389039,5212738.72823766
"80",116,2,658190.461811948,5212737.22826078
"81",118,504,658459.402144432,5212717.26825106
"82",119,106,658807.988172512,5212726.89823137
"83",120,123,658273.280885862,5212712.24084115
"84",123,15,658502.951365784,5212725.12844734
"85",124,4,658850.010118182,5212723.22847663
"86",126,2,658312.470748052,5212721.22850746
"87",129,24,658526.819780606,5212718.60354793
"88",131,75,658801.573237264,5212709.78201727
"89",132,6,658495.150794459,5212709.39535657
"90",133,1,658467.482101299,5212707.7287156
"91",134,2,658472.982504156,5212707.7287156
"92",135,1,658511.485324156,5212707.7287156
"93",136,12,658506.818315671,5212705.89541053
"94",137,233,658733.06378463,5212702.51420372
"95",138,251,658983.822707646,5212695.64922056
"96",139,1,658270.467671688,5212701.7288081
"97",140,1148,658539.479534769,5212680.17164918
"98",142,22,658258.375876978,5212688.592647
"99",143,3,658265.800663203,5212691.72896228
"100",144,23,658964.779393608,5212690.16376902
"101",145,1,658262.467085714,5212689.72899311
"102",146,1,658263.467158961,5212687.72902395
