scenario,buffer,file_name,tot_patches,min_area_m2,max_area_m2
Present,0,g_supinum_pres_buff0.csv,7180,1,657761
Present,1,g_supinum_pres_buff1.csv,2245,9.002024066,1563837.641
Present,2,g_supinum_pres_buff2.csv,1194,21.00472278,1774570.089
Present,3,g_supinum_pres_buff3.csv,622,45.01012079,2172170.013
Future 245,0,g_supinum_fut245_buff0.csv,4361,1,77911
Future 245,1,g_supinum_fut245_buff1.csv,1582,9.002036169,102309.7635
Future 245,2,g_supinum_fut245_buff2.csv,967,21.00477697,229255.6034
Future 245,3,g_supinum_fut245_buff3.csv,635,45.01023302,258242.3789
Future 585,0,g_supinum_fut585_buff0.csv,2769,1,65649
Future 585,1,g_supinum_fut585_buff1.csv,1261,9.002039602,105308.7278
Future 585,2,g_supinum_fut585_buff2.csv,839,21.0047613,178091.5369
Future 585,3,g_supinum_fut585_buff3.csv,607,45.01025787,236374.2435
